State_Code,State,Area_Type,Age_Group,Education_Level,Gender,Population
0,INDIA,Total,All ages,Total,Persons,1210854977
0,INDIA,Total,0-6,Total,Persons,164515253
0,INDIA,Total,7,Total,Persons,24826640
0,INDIA,Total,8,Total,Persons,26968373
0,INDIA,Total,9,Total,Persons,23424638
0,INDIA,Total,10,Total,Persons,30552107
0,INDIA,Total,11,Total,Persons,24740946
0,INDIA,Total,12,Total,Persons,27877307
0,INDIA,Total,13,Total,Persons,24280683
0,INDIA,Total,14,Total,Persons,25258169
0,INDIA,Total,15,Total,Persons,25899454
0,INDIA,Total,16,Total,Persons,24592293
0,INDIA,Total,17,Total,Persons,21217467
0,INDIA,Total,18,Total,Persons,27958147
0,INDIA,Total,19,Total,Persons,20859088
0,INDIA,Total,20-24,Total,Persons,111424222
0,INDIA,Total,25-29,Total,Persons,101413965
0,INDIA,Total,30-34,Total,Persons,88594951
0,INDIA,Total,35-39,Total,Persons,85140684
0,INDIA,Total,40-44,Total,Persons,72438112
0,INDIA,Total,45-49,Total,Persons,62318327
0,INDIA,Total,50-54,Total,Persons,49069254
0,INDIA,Total,55-59,Total,Persons,39146055
0,INDIA,Total,60-64,Total,Persons,37663707
0,INDIA,Total,65-69,Total,Persons,26454983
0,INDIA,Total,70-74,Total,Persons,19208842
0,INDIA,Total,75-79,Total,Persons,9232503
0,INDIA,Total,80+,Total,Persons,11289005
0,INDIA,Total,Age not stated,Total,Persons,4489802
0,INDIA,Rural,All ages,Total,Persons,833748852
0,INDIA,Rural,0-6,Total,Persons,121322865
0,INDIA,Rural,7,Total,Persons,18149844
0,INDIA,Rural,8,Total,Persons,20206981
0,INDIA,Rural,9,Total,Persons,17114582
0,INDIA,Rural,10,Total,Persons,22687766
0,INDIA,Rural,11,Total,Persons,17851313
0,INDIA,Rural,12,Total,Persons,20589319
0,INDIA,Rural,13,Total,Persons,17490173
0,INDIA,Rural,14,Total,Persons,18185923
0,INDIA,Rural,15,Total,Persons,18593646
0,INDIA,Rural,16,Total,Persons,17433799
0,INDIA,Rural,17,Total,Persons,14448773
0,INDIA,Rural,18,Total,Persons,19559614
0,INDIA,Rural,19,Total,Persons,13866640
0,INDIA,Rural,20-24,Total,Persons,73835046
0,INDIA,Rural,25-29,Total,Persons,66068270
0,INDIA,Rural,30-34,Total,Persons,57911779
0,INDIA,Rural,35-39,Total,Persons,56062707
0,INDIA,Rural,40-44,Total,Persons,47581008
0,INDIA,Rural,45-49,Total,Persons,40688228
0,INDIA,Rural,50-54,Total,Persons,32031788
0,INDIA,Rural,55-59,Total,Persons,25861514
0,INDIA,Rural,60-64,Total,Persons,26291245
0,INDIA,Rural,65-69,Total,Persons,18916270
0,INDIA,Rural,70-74,Total,Persons,13807600
0,INDIA,Rural,75-79,Total,Persons,6383717
0,INDIA,Rural,80+,Total,Persons,7894990
0,INDIA,Rural,Age not stated,Total,Persons,2913452
0,INDIA,Urban,All ages,Total,Persons,377106125
0,INDIA,Urban,0-6,Total,Persons,43192388
0,INDIA,Urban,7,Total,Persons,6676796
0,INDIA,Urban,8,Total,Persons,6761392
0,INDIA,Urban,9,Total,Persons,6310056
0,INDIA,Urban,10,Total,Persons,7864341
0,INDIA,Urban,11,Total,Persons,6889633
0,INDIA,Urban,12,Total,Persons,7287988
0,INDIA,Urban,13,Total,Persons,6790510
0,INDIA,Urban,14,Total,Persons,7072246
0,INDIA,Urban,15,Total,Persons,7305808
0,INDIA,Urban,16,Total,Persons,7158494
0,INDIA,Urban,17,Total,Persons,6768694
0,INDIA,Urban,18,Total,Persons,8398533
0,INDIA,Urban,19,Total,Persons,6992448
0,INDIA,Urban,20-24,Total,Persons,37589176
0,INDIA,Urban,25-29,Total,Persons,35345695
0,INDIA,Urban,30-34,Total,Persons,30683172
0,INDIA,Urban,35-39,Total,Persons,29077977
0,INDIA,Urban,40-44,Total,Persons,24857104
0,INDIA,Urban,45-49,Total,Persons,21630099
0,INDIA,Urban,50-54,Total,Persons,17037466
0,INDIA,Urban,55-59,Total,Persons,13284541
0,INDIA,Urban,60-64,Total,Persons,11372462
0,INDIA,Urban,65-69,Total,Persons,7538713
0,INDIA,Urban,70-74,Total,Persons,5401242
0,INDIA,Urban,75-79,Total,Persons,2848786
0,INDIA,Urban,80+,Total,Persons,3394015
0,INDIA,Urban,Age not stated,Total,Persons,1576350
1,Jammu & Kashmir,Total,All ages,Total,Persons,12541302
1,Jammu & Kashmir,Total,0-6,Total,Persons,2018905
1,Jammu & Kashmir,Total,7,Total,Persons,270538
1,Jammu & Kashmir,Total,8,Total,Persons,285314
1,Jammu & Kashmir,Total,9,Total,Persons,252100
1,Jammu & Kashmir,Total,10,Total,Persons,314283
1,Jammu & Kashmir,Total,11,Total,Persons,282049
1,Jammu & Kashmir,Total,12,Total,Persons,289798
1,Jammu & Kashmir,Total,13,Total,Persons,261079
1,Jammu & Kashmir,Total,14,Total,Persons,266644
1,Jammu & Kashmir,Total,15,Total,Persons,270992
